sensor,importance_before_smote,importance_after_smote,rank_before,rank_after,rank_change
s11,0.05402934581154639,0.08272806156892062,6.0,6.0,1.0
s4,0.05189608373186164,0.07764140151913804,3.0,3.0,2.0
s12,0.041560187213095075,0.06257082334436817,7.0,7.0,0.0
s7,0.032311216386436296,0.04602399634063712,4.0,4.0,3.0
s21,0.022100430875659775,0.03512498794455872,11.0,11.0,2.0
s9,0.019199774338527795,0.022872884868414812,5.0,5.0,0.0
s14,0.015692576058269878,0.020304030308753565,8.0,8.0,0.0
s20,0.01487920625157468,0.02415979489186866,10.0,10.0,0.0
s17,0.010843873245779087,0.025798904557356964,9.0,9.0,0.0
s2,0.01065612947557563,0.019532971860131837,1.0,1.0,0.0
s3,0.009381333716817878,0.013527061649775745,2.0,2.0,0.0
