Model,Condition,F1,PR_AUC,MCC,FNR
Random Forest,No Handling,0.8545454545454545,0.9414056289676718,0.8322693975716904,0.16612903225806452
Random Forest,SMOTE,0.8424289008455035,0.93721936224034,0.8170500299929407,0.11612903225806452
Random Forest,ADASYN,0.8170643528561099,0.9280213074437247,0.7901067412755809,0.08870967741935484
Random Forest,Class Weighted,0.8480801335559266,0.9377082627018617,0.8254193250163828,0.18064516129032257
LSTM,No Handling,0.9048006509357202,0.9711146411739728,0.8896329486180068,0.10177705977382875
LSTM,SMOTE,0.8706827309236947,0.9573883655373072,0.8497408266707598,0.12439418416801293
LSTM,ADASYN,0.8408037094281299,0.8235967263783233,0.8149150281379283,0.12116316639741519
LSTM,Class Weighted,0.9043760129659644,0.9648752754780121,0.8890418759029866,0.09854604200323101
Attention-LSTM,No Handling,0.8807947019867549,0.9511955751702688,0.8625060803313414,0.14054927302100162
Attention-LSTM,SMOTE,0.893030794165316,0.9567677725370848,0.8758765133531813,0.1098546042003231
Attention-LSTM,ADASYN,0.8491704374057315,0.9223947742110146,0.8254981855663908,0.09046849757673667
Attention-LSTM,Class Weighted,0.8910569105691057,0.9530668650334284,0.8736709807449141,0.1147011308562197
